code,name,scope_group,industry,ent_type,event_count,latest_ann_date,locator_terms
000012,南  玻Ａ,外汇,建筑材料,其他,1,2026-06-27,"[""其他"", ""外汇掉期"", ""外汇远期"", ""期权"", ""欧元"", ""港币"", ""美元"", ""货币互换"", ""远期""]"
600933,爱柯迪,外汇,汽车,民企,5,2026-04-30,"[""其他"", ""利率互换"", ""墨西哥比索"", ""外汇掉期"", ""外汇期权"", ""日元"", ""期权"", ""林吉特"", ""欧元"", ""美元"", ""货币互换"", ""远期结售汇""]"
003816,中国广核,外汇,公用事业,央企,4,2026-01-22,"[""人民币"", ""场外衍生品"", ""外汇远期"", ""欧元"", ""美元"", ""远期结售汇""]"
600073,光明肉业,外汇,食品饮料,地方国企,4,2025-11-18,"[""外汇掉期"", ""外汇远期"", ""新西兰元"", ""期权"", ""远期结售汇""]"
603055,台华新材,外汇,纺织服饰,外资,4,2026-04-11,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""日元"", ""期权"", ""期货"", ""美元"", ""货币互换"", ""远期结售汇""]"
002318,久立特材,外汇,钢铁,民企,4,2026-03-25,"[""外汇掉期"", ""外汇期权"", ""期权"", ""欧元"", ""美元"", ""远期结售汇""]"
600458,时代新材,外汇,综合,央企,4,2026-03-28,"[""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""欧元"", ""美元""]"
688629,华丰科技,外汇,国防军工,地方国企,3,2026-01-31,"[""外汇远期"", ""欧元"", ""美元"", ""远期结售汇""]"
688718,唯赛勃,外汇,环保,外资,3,2025-04-29,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""期权"", ""期货"", ""欧元"", ""美元"", ""货币互换"", ""远期结售汇""]"
688139,海尔生物,外汇,医药生物,集体,5,2026-03-28,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""美元"", ""货币互换"", ""远期结售汇""]"
002056,横店东磁,外汇,电力设备,集体,4,2026-03-28,"[""其他"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""外汇远期结售汇"", ""日元"", ""期权"", ""期货"", ""欧元"", ""美元"", ""货币互换"", ""远期结售汇""]"
003042,中农联合,外汇,基础化工,集体,4,2026-04-29,"[""外汇远期"", ""美元"", ""远期结售汇""]"
000063,中兴通讯,外汇,通信,其他,4,2026-05-26,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇远期"", ""期权"", ""货币互换""]"
603303,得邦照明,外汇,电子,集体,4,2025-12-17,"[""外汇掉期"", ""外汇远期"", ""期权"", ""美元"", ""远期结售汇""]"
000938,紫光股份,外汇,计算机,其他,4,2025-12-04,"[""其他"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""美元"", ""远期结售汇""]"
002527,新时达,外汇,机械设备,集体,1,2026-07-11,"[""其他"", ""外汇掉期"", ""外汇远期"", ""期权"", ""货币互换""]"
603727,博迈科,外汇,石油石化,民企,5,2026-03-21,"[""其他"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""美元"", ""远期结售汇""]"
000521,长虹美菱,外汇,家用电器,地方国企,4,2026-04-03,"[""其他"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""欧元"", ""澳元"", ""美元""]"
000625,长安汽车,外汇,汽车,央企,4,2026-03-03,"[""卢布"", ""墨西哥比索"", ""日元"", ""欧元"", ""泰铢"", ""美元"", ""英镑"", ""远期结售汇""]"
300748,金力永磁,外汇,有色金属,外资,4,2026-03-26,"[""利率互换"", ""外汇掉期"", ""外汇期货"", ""外汇远期"", ""期权"", ""期货"", ""美元"", ""货币互换"", ""远期结售汇""]"
688223,晶科能源,商品+外汇,电力设备,民企,9,2026-04-30,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""多晶硅"", ""工业硅"", ""日元"", ""期权"", ""期货"", ""欧元"", ""澳元"", ""白银"", ""美元"", ""远期结售汇"", ""铜"", ""铝"", ""锡""]"
000651,格力电器,商品+外汇,家用电器,其他,8,2026-04-29,"[""其他"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""期货"", ""美元"", ""货币互换"", ""铜"", ""铝""]"
002386,天原股份,商品+外汇,基础化工,地方国企,7,2026-03-27,"[""其他"", ""利率互换"", ""外汇掉期"", ""外汇期权"", ""期权"", ""期货"", ""欧元"", ""美元"", ""货币互换"", ""货币掉期"", ""远期结售汇""]"
002213,大为股份,商品+外汇,电子,民企,7,2026-03-18,"[""其他"", ""利率互换"", ""利率掉期"", ""利率期权"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""期货"", ""氢氧化锂"", ""碳酸锂"", ""美元"", ""货币互换"", ""远期"", ""远期结售汇"", ""铜"", ""锂"", ""锂盐""]"
300335,迪森股份,商品+外汇,公用事业,外资,5,2026-04-17,"[""其他"", ""利率互换"", ""外汇掉期"", ""外汇期权"", ""期权"", ""期货"", ""欧元"", ""美元"", ""货币互换"", ""远期结售汇"", ""钢材"", ""铜""]"
600226,亨通股份,商品+外汇,公用事业,民企,5,2026-07-14,"[""期权"", ""期货"", ""远期结售汇"", ""铜""]"
002556,辉隆股份,商品+外汇,农林牧渔,集体,5,2026-04-17,"[""其他"", ""利率互换"", ""外汇掉期"", ""外汇期权"", ""尿素"", ""期权"", ""期货"", ""欧元"", ""港币"", ""硫酸铵"", ""美元"", ""远期结售汇"", ""铝锭""]"
000070,特发信息,商品+外汇,通信,地方国企,5,2026-07-22,"[""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""美元"", ""远期结售汇"", ""铝""]"
